Id,Program,Y0s1_enrol,Y0s2_enrol,Y1s1_enrol,Y1s1_complete,Y1s1_grade,Y1s2_enrol,Y1s2_complete,Y1s2_grade,Y2s1_enrol,Y2s1_complete,Y2s1_grade,Y2s2_enrol,Y2s2_complete,Y2s2_grade,Y3s1_enrol,Y3s1_complete,Y3s1_grade,Y3s2_enrol,Y3s2_complete,Y3s2_grade,Y4s1_enrol,Y4s1_complete,Y4s1_grade,Y4s2_enrol,Y4s2_complete,Y4s2_grade,Rest_enrol,Rest_complete,Rest_grade,Failure
111354287,3,15,0,30,15,18,30,24,16.25,20,20,16,26,26,12.692,34,34,11.941,12,6,13,30,30,13.1,30,0,0,60,60,13.55,0
111364544,3,24,30,30,30,16.6,30,30,15.667,30,30,16.167,30,30,16.5,30,30,14.533,30,30,15.8,0,0,0,0,0,0,0,0,0,0
131393645,2,36,31,30,24,12.563,35.5,35.5,12.169,30,30,11.617,30,23.5,12.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131385465,3,30,30,30,30,17,30,30,18.667,30,30,15.633,30,30,17.667,30,30,15.333,30,30,14.5,0,0,0,0,0,0,0,0,0,0
131383315,0,46,50,36,26,12.423,24,18,12.333,31,16,10.563,30,30,11.3,30,8,13,30,6,11.5,0,0,0,0,0,0,0,0,0,0
131395056,1,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111364545,3,24,30,30,30,16.933,30,30,16.667,30,30,16.367,30,30,13.5,30,30,14.633,30,30,15.667,0,0,0,0,0,0,0,0,0,0
111345856,3,30,30,26,26,16.462,20,20,17,26,26,14.423,34,34,17.294,30,30,14.867,30,30,16.167,0,0,0,0,0,0,0,0,0,0
131382430,2,30,36,30,30,12.3,30,30,12.1,30,30,13.5,30,30,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131380491,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131380651,0,46,42,30,8,12.75,30,24,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131394556,0,33,36,29,23,12.478,42,36,13.667,32,32,11.406,29,23,13.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111364578,3,30,24,30,30,16.733,30,30,17.667,30,30,16.9,30,30,15.5,30,30,14.967,30,30,17.233,0,0,0,0,0,0,0,0,0,0
131386483,3,30,30,0,0,0,10,10,14,30,30,16.333,27,27,14.741,30,20,15,30,30,12.767,33,33,13.061,30,30,12.833,0,0,0,0
131393137,2,33.5,24.5,34.5,24.5,11.98,29.5,23.5,11.213,36,18.5,11.135,30,18.5,11.514,30,13.5,11.333,30,23.5,11.872,0,0,0,0,0,0,0,0,0,0
131391386,2,35.5,31,33.5,27.5,11.436,34,34,12.853,34.5,7.5,12.133,36.5,13,11.231,30,13.5,11.556,30,18,12.361,0,0,0,0,0,0,0,0,0,0
131396811,1,32,30,37,0,0,24,0,0,29,0,0,42,0,0,20,0,0,30,18,12.667,35,6,11,36,0,0,0,0,0,1
131395604,1,23,36,28,17,12.882,34,28,13.429,33,12,12.5,39,25,10.48,47,7,11,46,17,13.294,29,15,13.467,30,12,11.167,0,0,0,0
131395430,1,17,48,35,18,10.667,36,18,11,34,18,11.667,39,28,13,41,7,12,53,11,14.455,29,21,12.667,30,5,14,0,0,0,0
131381771,2,30,30,30,24,12.875,36,36,11.417,30,30,13.1,30,30,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131391690,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111335852,3,15,51,30,30,18,30,30,15.333,30,30,16.333,30,30,15.5,30,30,13.833,30,30,14.933,0,0,0,0,0,0,0,0,0,0
